sim data
TimeStep,Latitude,Longitude,Velocity,IMU_Accel_X,IMU_Accel_Y,IMU_Accel_Z,IMU_AngVel_X,IMU_AngVel_Y,IMU_AngVel_Z,Altitude,ControlOutput
1, -0.001, 0.001, 17, 0.015, 0.035, -0.008, 0.93, 0.86, -0.51, -0.0008, 0
2, -0.002, 0.002, 7, -0.01, 0.063, 0.04, -0.41, 0.26, -0.74, 0.0032, 0
3, -0.001, 0.003, 11, 0.068, -0.071, 0.03, 0.67, 0.82, -0.38, 0.0062, 0
4, -0.002, 0.002, 15, 0.029, -0.078, -0.031, -0.98, -0.42, 0.67, 0.0031, 0
5, -0.003, 0.003, 11, -0.058, 0.073, 0.019, -0.71, -0.79, 0.84, 0.005, 0
6, -0.004, 0.004, 4, 0.015, -0.087, -0.009, 0.7, 0.26, 0.8, 0.0041, 0
7, -0.003, 0.003, 2, 0.07, -0.019, 0.025, 0.96, 0.05, -0.16, 0.0066, 0
8, -0.004, 0.004, 5, -0.054, 0.013, 0.024, 0.29, -0.43, -0.05, 0.009, 0
9, -0.003, 0.003, 14, 0.067, 0.064, 0.05, -0.66, -0.57, -0.13, 0.014, 0
10, -0.002, 0.004, 18, 0.088, -0.097, 0.054, 0.84, -0.49, 0.99, 0.0194, 0
